"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","REC GRD","KEY","REC SNP","VS PRS","TGT","REC","REC YDS","YPR","REC TD","REC 1D","DP","FUM","FUML","CBL","CTT","CTC","YAC","YAC/REC","YPRR"
"","22777","54931","278802","4f2ecf70-d3b2-11ec-96a0-c3471a31202c","Tanner Conner","Dolphins","80","TE","46.3","12","120","30","15","9","91","10.1","0","3","2","0","0","12","2","1","37","4.1","0.76"
"","26394","52523","194657","f58a5899-8b78-46e8-a29a-ba6273b7d872","Harrison Bryant","Texans","88","TE","40.4","5","70","22","10","6","31","5.2","0","2","0","0","0","6","1","0","11","1.8","0.44"
"","28305","52942","337575","0226b03b-f91d-4223-9813-9fcd2e9c3acc","Juwan Johnson","Saints","83","TE","69.1","82","559","162","101","77","889","11.6","3","41","7","2","2","86","25","14","363","4.7","1.59"
"","30762","46189","160020","383f4814-6836-4766-a297-fc063e8509cc","Will Dissly","Chargers","89","TE","55.4","12","99","29","15","11","97","8.8","0","5","1","0","0","13","3","0","68","6.2","0.98"
"","35883","47879","267761","5fb525c5-4e70-4ede-8c49-94ad0cf66b7d","Dawson Knox","Bills","88","TE","68.4","55","375","121","57","43","480","11.2","4","26","4","0","0","49","11","5","208","4.8","1.28"
"","40630","53556","263283","bcc0167c-05fd-4b23-981e-60b8784ceb33","Kylen Granson","Eagles","83","TE","42.9","6","93","27","9","7","40","5.7","0","3","1","0","0","8","1","0","12","1.7","0.43"
"","40912","47791","279646","bd1120b6-38b3-4225-a4b0-20660a149d0d","T.J. Hockenson","Vikings","87","TE","62.6","64","445","134","67","51","438","8.6","3","22","4","0","0","57","7","3","224","4.4","0.98"
"","41372","54683","278770","f96b8338-4ffb-4612-8c29-58dc3b12db69","Ko Kieft","Buccaneers","41","TE","54.6","1","4","1","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.00"
"","41933","52526","281893","617aee8a-70be-4bdf-9a71-2e2b74e647e6","Albert Okwuegbunam","Raiders","86","TE","72.7","6","25","9","6","5","36","7.2","0","2","0","0","0","5","1","0","34","6.8","1.44"
"","42058","53946","279825","0560d134-d316-4cda-9d48-34d32267af68","Jack Stoll","Saints","88","TE","59","7","50","7","10","6","46","7.7","1","2","0","0","0","6","2","2","18","3.0","0.92"
"","42130","46170","195797","ed8a8fd2-df67-45e7-a34f-984afb82f6ea","Ian Thomas","Raiders","80","TE","67.1","10","90","18","13","13","114","8.8","0","5","0","0","0","13","0","0","76","5.8","1.27"
"","42257","52598","195531","527dfee0-a242-4dc7-830a-ab7028308259","Charlie Woerner","Falcons","89","TE","47.6","10","134","28","8","8","48","6.0","0","2","0","0","0","8","1","1","37","4.6","0.36"
"","42266","52934","194449","0f369885-8ecd-4ca0-a3dc-df8530a0db6e","Sean McKeon","Colts","49","TE","54","0","3","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.00"
"","42275","53553","279874","3208880b-949f-4926-85eb-1940770550ea","John Bates","Commanders","87","TE","55.3","15","141","31","15","11","103","9.4","1","6","1","0","0","12","2","0","69","6.3","0.73"
"","42353","53574","278502","8a1f0e8e-6521-4a94-9934-ad4f76a25fd9","Luke Farrell","49ers","89","TE","46.8","17","157","31","15","12","86","7.2","2","6","1","1","1","13","3","2","56","4.7","0.55"
"","42388","47803","195637","cdc98acc-9eb6-4b44-81bb-61d7b8a3b55f","Noah Fant","Bengals","86","TE","56.6","31","226","71","38","34","288","8.5","3","13","1","3","3","35","4","3","177","5.2","1.27"
