"","down","ydstogo","yardline_100","touchdown"
"7692",3,2,76,0
"7693",1,10,69,0
"7694",2,10,69,0
"7695",3,10,69,0
"7696",4,10,69,0
"7697",1,10,67,0
"7698",2,1,58,0
"7699",1,10,42,0
"7700",2,12,44,0
"7701",2,17,49,0
"7702",NA,0,NA,NA
"7703",3,14,46,0
"7704",4,4,36,0
"7705",1,10,21,0
"7706",1,7,7,0
"7707",2,5,5,1
"7708",NA,0,15,0
"7709",NA,0,35,0
"7710",1,10,65,0
"7711",1,10,54,0
"7712",2,10,54,0
"7713",3,7,51,0
"7714",4,7,51,0
"7715",1,10,36,0
"7716",2,4,30,0
"7717",3,1,27,0
"7718",1,10,20,0
"7719",2,5,15,1
"7720",NA,0,15,0
"7721",NA,0,35,0
"7722",1,10,63,0
"7723",2,8,61,0
"7724",3,8,61,0
"7725",1,10,50,0
"7726",2,8,48,0
"7727",NA,0,NA,0
"7728",3,4,44,0
"7729",1,10,31,0
"7730",2,6,27,0
"7731",1,10,21,0
"7732",1,10,59,0
"7733",1,20,69,0
"7734",NA,0,NA,0
"7735",2,16,65,0
"7736",1,10,35,0
"7737",NA,0,NA,0
"7738",2,7,32,0
"7739",3,7,32,0
"7740",NA,0,NA,0
"7741",4,5,30,0
"7742",NA,0,35,0
"7743",1,10,65,0
"7744",1,10,52,0
"7745",2,10,52,0
"7746",NA,0,NA,NA
"7747",NA,0,NA,NA
"7748",NA,0,35,0
"7749",1,10,69,0
"7750",2,1,60,0
"7751",1,10,53,0
"7752",2,9,52,0
"7753",3,2,45,0
"7754",4,2,45,0
"7755",1,10,55,0
"7756",2,10,55,0
"7757",1,10,26,0
"7758",2,9,25,0
"7759",3,8,24,0
"7760",1,10,12,1
"7761",NA,0,15,0
"7762",NA,0,35,0
"7763",1,10,71,0
"7764",2,2,63,0
"7765",3,1,62,0
"7766",4,1,62,0
"7767",4,5,66,1
"7768",NA,0,15,0
"7769",NA,0,35,0
"7770",1,10,68,0
"7771",1,15,73,0
"7772",2,10,68,0
"7773",2,15,73,0
"7774",2,25,83,0
"7775",3,21,79,0
"7776",4,12,70,0
"7777",1,10,11,0
"7778",2,2,3,1
"7779",NA,0,15,0
"7780",NA,0,35,0
"7781",1,10,74,0
"7782",2,8,72,0
"7783",3,8,72,0
"7784",1,10,58,0
"7785",2,3,51,0
"7786",1,10,45,0
"7787",2,8,43,0
"7788",1,10,38,0
"7789",2,5,33,0
"7790",3,7,35,0
"7791",NA,0,NA,NA
"7792",1,10,26,0
"7793",2,10,26,0
"7794",3,2,18,0
"7795",1,10,15,0
"7796",2,9,14,0
"7797",3,4,9,0
"7798",4,4,9,0
"7799",NA,0,35,0
"7800",1,10,38,0
"7801",2,9,37,0
"7802",1,10,14,1
"7803",NA,0,15,0
"7804",NA,0,35,0
"7805",1,10,72,0
"7806",2,10,72,0
"7807",3,6,68,0
"7808",4,6,68,0
"7809",1,10,76,0
"7810",1,10,16,0
"7811",2,7,13,0
"7812",1,1,1,1
"7813",NA,0,15,0
"7814",NA,0,35,0
"7815",1,10,75,0
"7816",2,6,71,0
"7817",1,10,63,0
"7818",2,8,61,0
"7819",2,13,66,0
"7820",1,10,51,0
"7821",2,8,49,0
"7822",3,3,44,0
"7823",1,10,41,0
"7824",2,9,40,0
"7825",3,9,40,0
"7826",4,2,33,0
"7827",1,10,58,0
"7828",2,10,58,0
"7829",3,1,49,0
"7830",1,10,43,0
"7831",1,20,53,0
"7832",NA,0,NA,0
"7833",2,22,55,0
"7834",3,14,47,0
"7835",NA,0,NA,0
"7836",4,5,38,0
"7837",NA,0,35,0
"7838",1,10,74,0
"7839",2,5,69,0
"7840",1,10,48,0
"7841",2,2,40,0
"7842",1,10,35,0
"7843",2,5,30,0
"7844",1,10,20,0
"7845",NA,0,NA,0
"7846",1,5,5,0
"7847",NA,0,NA,NA
"7848",NA,0,35,0
"7849",1,10,65,0
"7850",1,10,55,0
"7851",1,10,32,0
"7852",1,10,25,0
"7853",1,20,35,0
"7854",2,17,32,0
"7855",3,17,32,0
"7856",4,18,33,0
"7857",4,13,28,0
"7858",NA,0,35,0
"7859",1,10,76,0
"7860",2,6,72,0
"7861",3,6,72,0
"7862",4,12,78,0
"7863",1,10,65,0
"7864",2,3,58,0
"7865",3,2,57,0
"7866",1,10,55,0
"7867",1,10,43,0
"7868",2,9,42,0
"7869",1,10,32,0
"7870",1,10,20,0
"7871",2,9,19,0
"7872",3,9,19,0
"7873",4,9,19,0
"7874",NA,0,35,0
"7875",1,10,80,0
"7876",2,2,72,0
"7877",3,2,72,0
"7878",1,10,66,0
"7879",2,14,70,0
"7880",1,10,62,0
"7881",2,6,58,0
"7882",1,10,52,0
"7883",2,4,46,0
"7884",1,10,34,0
"7885",NA,0,NA,NA
"7886",1,10,13,1
"7887",NA,0,15,0
"7888",NA,0,20,0
"7889",NA,0,35,0
"7890",1,10,65,0
"7891",2,6,61,0
"7892",3,7,62,0
"7893",3,12,67,0
"7894",4,8,63,0
"7895",1,10,44,0
"7896",2,8,42,0
"7897",3,3,37,0
"7898",4,4,38,0
"7899",1,10,75,0
"7900",1,10,64,0
"7901",2,9,63,0
"7902",3,9,63,0
"7903",4,4,58,0
"7904",1,10,87,0
"7905",2,10,87,0
"7906",3,7,84,0
"7907",4,7,84,0
"7908",1,10,55,0
"7909",2,7,52,0
"7910",NA,0,NA,0
"7911",3,1,46,0
"7912",1,10,45,0
"7913",2,9,44,0
"7914",1,10,34,0
"7915",2,10,34,0
"7916",1,10,66,0
"7917",2,4,60,0
"7918",3,4,60,0
"7919",4,4,60,0
"7920",1,10,77,0
"7921",2,6,73,0
"7922",3,2,69,0
"7923",1,10,61,0
"7924",NA,0,NA,NA
"7925",NA,0,NA,NA
"7926",NA,0,35,0
"7927",1,10,71,0
"7928",2,3,64,0
"7929",1,10,58,0
"7930",2,11,59,0
"7931",1,10,44,0
"7932",2,9,43,0
"7933",3,5,39,0
"7934",1,10,31,0
"7935",2,9,30,0
"7936",1,10,26,0
"7937",2,1,17,0
"7938",2,6,22,0
"7939",3,4,20,0
"7940",4,4,20,0
"7941",NA,0,35,0
"7942",1,10,68,0
"7943",2,6,64,0
"7944",1,10,49,0
"7945",1,18,57,0
"7946",1,10,32,0
"7947",2,6,28,0
"7948",3,9,31,0
"7949",3,19,41,0
"7950",3,29,51,0
"7951",1,10,25,0
"7952",2,7,22,0
"7953",3,4,19,0
"7954",3,14,29,0
"7955",3,24,39,0
"7956",4,20,35,0
"7957",NA,0,35,0
"7958",1,10,63,0
"7959",1,10,46,0
"7960",1,10,29,0
"7961",2,9,28,0
"7962",2,19,38,0
"7963",NA,0,NA,NA
"7964",3,14,33,0
"7965",4,5,24,0
"7966",NA,0,35,0
"7967",1,10,77,0
"7968",2,10,77,0
"7969",1,10,47,0
"7970",2,2,39,0
"7971",3,8,45,0
"7972",1,10,29,0
"7973",1,5,5,1
"7974",NA,0,15,0
"7975",NA,0,35,0
"7976",1,10,65,0
"7977",2,14,69,0
"7978",3,10,65,0
"7979",4,1,56,0
"7980",1,10,43,0
"7981",2,3,36,0
"7982",3,3,36,0
"7983",3,13,46,0
"7984",4,13,46,0
"7985",1,10,82,0
"7986",1,5,77,0
"7987",2,10,82,0
"7988",3,4,76,0
"7989",4,4,76,0
"7990",1,10,70,0
"7991",1,15,75,0
"7992",2,15,75,0
"7993",3,9,69,0
"7994",4,17,77,0
"7995",1,10,62,0
"7996",2,10,62,0
"7997",3,7,59,0
"7998",1,10,33,0
"7999",1,10,16,0
"8000",2,12,18,0
"8001",NA,0,NA,0
"8002",3,11,17,0
"8003",NA,0,NA,0
"8004",4,9,15,0
"8005",NA,0,35,0
"8006",1,10,65,0
"8007",2,10,65,0
"8008",3,10,65,0
"8009",4,20,75,0
"8010",1,10,77,0
"8011",2,5,72,0
"8012",3,2,69,0
"8013",NA,0,NA,0
"8014",4,2,69,0
"8015",1,10,66,0
"8016",1,10,55,0
"8017",2,10,55,1
"8018",NA,0,15,0
"8019",NA,0,35,0
"8020",1,10,68,0
"8021",NA,0,NA,NA
"8022",NA,0,35,0
"8023",1,10,77,0
"8024",1,10,61,0
"8025",2,7,58,0
"8026",3,3,54,0
"8027",1,10,43,0
"8028",1,20,53,0
"8029",2,13,46,0
"8030",3,9,42,0
"8031",1,10,32,0
"8032",2,13,35,0
"8033",1,10,21,0
"8034",2,9,20,0
"8035",3,9,20,0
"8036",1,9,9,0
"8037",2,9,9,0
"8038",3,10,10,0
"8039",4,10,10,0
"8040",NA,0,35,0
"8041",1,10,72,0
"8042",2,9,71,0
"8043",3,4,66,0
"8044",1,10,59,0
"8045",2,6,55,0
"8046",3,2,51,0
"8047",1,10,45,0
"8048",2,9,44,0
"8049",3,12,47,0
"8050",4,12,47,0
"8051",1,10,61,0
"8052",NA,0,NA,NA
"8053",2,4,55,0
"8054",3,9,60,0
"8055",4,9,60,0
"8056",1,10,80,0
"8057",2,4,74,0
"8058",1,10,70,0
"8059",2,1,61,0
"8060",1,10,52,0
"8061",1,10,40,0
"8062",2,1,31,0
"8063",1,10,23,0
"8064",1,10,11,0
"8065",2,10,11,1
"8066",NA,0,15,0
"8067",NA,0,35,0
"8068",1,10,73,0
"8069",1,10,53,0
"8070",1,10,42,0
"8071",2,7,39,0
"8072",1,10,31,0
"8073",2,11,32,0
"8074",2,16,37,0
"8075",3,16,37,0
"8076",4,16,37,0
"8077",NA,0,35,0
"8078",1,10,73,0
"8079",1,10,63,0
"8080",2,17,70,0
"8081",1,10,55,0
"8082",1,15,60,0
"8083",2,19,64,0
"8084",1,10,44,0
"8085",1,10,32,0
"8086",2,1,23,0
"8087",1,9,9,0
"8088",2,4,4,0
"8089",3,4,4,0
"8090",4,4,4,1
"8091",NA,0,15,0
"8092",NA,0,35,0
"8093",1,10,65,0
"8094",NA,0,NA,0
"8095",2,7,62,0
"8096",NA,0,NA,0
"8097",1,10,29,0
"8098",2,7,26,0
"8099",NA,0,NA,0
"8100",NA,0,NA,0
"8101",3,5,24,0
"8102",4,1,20,0
"8103",4,6,25,1
"8104",NA,0,15,0
"8105",NA,0,35,0
"8106",1,10,66,0
"8107",2,10,66,0
"8108",1,10,38,0
"8109",NA,0,NA,0
"8110",2,10,38,0
"8111",1,10,18,0
"8112",2,9,17,0
"8113",NA,0,NA,0
"8114",3,10,18,0
"8115",NA,0,NA,NA
"8116",NA,0,NA,NA
"8117",NA,0,35,0
"8118",1,10,73,0
"8119",2,6,69,0
"8120",3,6,69,0
"8121",1,10,64,0
"8122",1,10,54,0
"8123",1,5,49,0
"8124",1,10,34,0
"8125",2,1,25,0
"8126",1,10,14,0
"8127",2,4,8,0
"8128",1,4,4,0
"8129",2,1,1,0
"8130",3,2,2,0
"8131",1,1,1,1
"8132",NA,0,15,0
"8133",NA,0,35,0
"8134",1,10,72,0
"8135",2,7,69,0
"8136",3,1,63,0
"8137",1,10,60,0
"8138",2,10,60,0
"8139",3,5,55,0
"8140",4,9,59,0
"8141",1,10,90,0
"8142",2,12,92,0
"8143",3,6,86,0
"8144",1,10,81,0
"8145",1,10,64,0
"8146",1,10,51,0
"8147",2,10,51,0
"8148",2,15,56,0
"8149",3,10,51,0
"8150",1,10,30,0
"8151",2,6,26,0
"8152",NA,0,NA,NA
"8153",3,1,21,0
"8154",1,10,13,0
"8155",2,9,12,1
"8156",NA,0,15,0
"8157",NA,0,35,0
"8158",1,10,77,0
"8159",1,10,66,0
"8160",1,10,51,0
"8161",2,6,47,0
"8162",3,6,47,0
"8163",1,10,38,0
"8164",1,10,27,0
"8165",2,7,24,0
"8166",3,4,21,0
"8167",1,5,5,1
"8168",NA,0,15,0
"8169",NA,0,35,0
"8170",1,10,66,0
"8171",2,6,62,0
"8172",3,5,61,0
"8173",4,5,61,0
"8174",1,10,94,0
"8175",2,12,96,0
"8176",3,12,96,0
"8177",4,1,85,0
"8178",1,10,75,0
"8179",2,10,75,0
"8180",3,10,75,0
"8181",1,10,52,0
"8182",2,6,48,0
"8183",3,13,55,0
"8184",1,10,35,0
"8185",1,15,40,0
"8186",2,7,32,0
"8187",NA,0,NA,0
"8188",3,5,30,0
"8189",1,10,23,0
"8190",1,5,5,0
"8191",1,2,2,0
"8192",2,2,2,0
"8193",3,2,2,0
"8194",1,10,80,0
"8195",NA,0,NA,NA
"8196",NA,0,35,0
"8197",1,10,65,0
"8198",2,5,60,0
"8199",3,10,65,0
"8200",1,10,11,0
"8201",2,1,2,0
"8202",1,10,80,0
"8203",1,20,90,0
"8204",2,21,91,0
"8205",3,21,91,0
"8206",4,12,82,0
"8207",1,10,54,0
"8208",2,1,45,0
"8209",1,10,43,0
"8210",1,10,57,0
"8211",2,12,59,0
"8212",3,12,59,0
"8213",4,7,54,0
"8214",1,10,88,0
"8215",2,8,86,0
"8216",3,1,79,0
"8217",1,10,76,0
"8218",2,2,68,0
"8219",1,10,66,0
"8220",1,10,55,0
"8221",2,5,50,0
"8222",3,3,48,0
"8223",4,1,46,0
"8224",1,10,39,0
"8225",1,10,24,0
"8226",2,8,22,0
"8227",3,7,21,0
"8228",NA,0,NA,NA
"8229",4,2,16,1
"8230",NA,0,15,0
"8231",NA,0,35,0
"8232",1,10,65,0
"8233",2,10,65,0
"8234",3,8,63,0
"8235",1,10,45,0
"8236",2,8,43,0
"8237",3,8,43,0
"8238",4,8,43,0
"8239",1,10,82,0
"8240",2,5,77,0
"8241",1,10,65,0
"8242",1,10,49,0
"8243",2,4,43,0
"8244",3,2,41,0
"8245",4,1,40,0
"8246",1,10,33,0
"8247",1,10,62,0
"8248",2,2,54,0
"8249",1,10,48,0
"8250",1,10,33,0
"8251",2,5,28,0
"8252",NA,0,NA,0
"8253",3,2,25,0
"8254",1,10,21,0
"8255",2,11,22,0
"8256",2,16,27,0
"8257",NA,0,NA,0
"8258",3,6,17,1
"8259",NA,0,15,0
"8260",NA,0,35,0
"8261",1,10,74,0
"8262",2,2,66,0
"8263",1,10,60,0
"8264",2,2,52,0
"8265",1,10,37,0
"8266",NA,0,NA,0
"8267",2,13,40,0
"8268",3,13,40,0
"8269",NA,0,NA,0
"8270",4,1,28,0
"8271",1,10,71,0
"8272",2,10,71,0
"8273",NA,0,NA,NA
"8274",NA,0,NA,NA
"8275",NA,0,35,0
"8276",1,10,70,0
"8277",2,5,65,0
"8278",1,10,58,0
"8279",1,10,44,0
"8280",1,10,23,0
"8281",2,8,21,0
"8282",3,2,15,0
"8283",1,10,11,0
"8284",2,10,11,1
"8285",NA,0,15,0
"8286",NA,0,35,0
"8287",1,10,68,0
"8288",1,10,53,0
"8289",2,9,52,0
"8290",3,2,45,0
"8291",4,2,45,0
"8292",1,10,41,0
"8293",1,10,24,0
"8294",2,6,20,0
"8295",3,6,20,0
"8296",4,6,20,0
"8297",NA,0,35,0
"8298",1,10,74,0
"8299",2,13,77,0
"8300",3,11,75,0
"8301",1,10,63,0
"8302",2,6,59,0
"8303",2,11,64,0
"8304",1,10,32,0
"8305",1,10,84,0
"8306",2,8,82,0
"8307",1,10,45,0
"8308",2,10,45,0
"8309",NA,0,NA,NA
"8310",3,3,38,0
"8311",4,1,36,0
"8312",1,10,34,0
"8313",1,10,16,0
"8314",2,8,14,0
"8315",3,4,10,0
"8316",1,4,4,0
"8317",2,5,5,0
"8318",3,5,5,0
"8319",4,5,5,0
"8320",NA,0,35,0
"8321",1,10,85,0
"8322",1,10,74,0
"8323",1,15,79,0
"8324",2,5,69,0
"8325",2,10,74,0
"8326",3,26,90,0
"8327",4,15,79,0
"8328",1,10,56,0
"8329",1,10,21,0
"8330",2,7,18,0
"8331",1,6,6,0
"8332",2,4,4,1
"8333",NA,0,15,0
"8334",NA,0,35,0
"8335",1,10,68,0
"8336",2,10,68,0
"8337",3,10,68,0
"8338",4,1,59,0
"8339",1,10,40,0
"8340",2,10,40,0
"8341",1,10,25,0
"8342",2,6,21,0
"8343",3,6,21,0
"8344",NA,0,NA,0
"8345",1,8,8,1
"8346",NA,0,15,0
"8347",NA,0,35,0
"8348",1,10,65,0
"8349",2,7,62,0
"8350",3,1,56,0
"8351",1,10,47,0
"8352",2,1,38,0
"8353",3,1,38,0
"8354",NA,0,NA,0
"8355",1,10,36,0
"8356",NA,0,NA,0
"8357",2,16,42,0
"8358",3,11,37,0
"8359",4,11,37,0
"8360",1,10,53,0
"8361",NA,0,NA,0
"8362",1,10,36,0
"8363",2,4,30,0
"8364",3,4,30,0
"8365",NA,0,NA,0
"8366",1,10,24,0
"8367",NA,0,NA,NA
"8368",NA,0,35,0
"8369",1,10,65,0
"8370",2,5,60,0
"8371",1,10,55,0
"8372",1,10,43,0
"8373",1,10,15,0
"8374",2,6,11,1
"8375",NA,0,15,0
"8376",NA,0,35,0
"8377",1,10,70,0
"8378",2,5,65,0
"8379",1,10,58,0
"8380",1,10,34,0
"8381",1,10,19,0
"8382",2,6,15,0
"8383",3,3,12,0
"8384",4,5,14,0
"8385",NA,0,35,0
"8386",1,10,51,0
"8387",2,3,44,0
"8388",3,2,43,0
"8389",1,10,36,0
"8390",2,9,35,0
"8391",1,10,23,0
"8392",1,10,11,0
"8393",2,9,10,0
"8394",2,14,15,0
"8395",3,19,20,0
"8396",4,11,12,0
"8397",NA,0,35,0
"8398",1,10,84,0
"8399",2,9,83,0
"8400",3,6,80,0
"8401",NA,0,NA,NA
"8402",3,1,75,0
"8403",4,2,76,0
"8404",1,10,24,0
"8405",2,6,20,0
"8406",3,6,20,0
"8407",4,1,15,1
"8408",NA,0,15,0
"8409",NA,0,35,0
"8410",1,10,69,0
"8411",2,3,62,0
"8412",3,3,62,0
"8413",4,3,62,0
"8414",1,10,53,0
"8415",1,10,40,0
"8416",2,5,35,0
"8417",3,5,35,0
"8418",4,5,35,0
"8419",1,10,65,0
"8420",2,5,60,0
"8421",3,2,57,0
"8422",1,10,54,0
"8423",2,6,50,0
"8424",3,6,50,0
"8425",4,1,45,0
"8426",1,10,42,0
"8427",NA,0,NA,0
"8428",2,10,42,0
"8429",2,20,52,0
"8430",NA,0,NA,0
"8431",3,19,51,0
"8432",4,19,51,0
"8433",1,10,86,0
"8434",2,9,85,0
"8435",1,10,71,1
"8436",NA,0,15,0
"8437",NA,0,35,0
"8438",1,10,78,0
"8439",2,5,73,0
"8440",3,7,75,0
"8441",NA,0,NA,NA
"8442",NA,0,NA,NA
"8443",NA,0,35,0
"8444",1,10,76,0
"8445",1,10,64,0
"8446",2,1,55,0
"8447",1,10,51,0
"8448",2,1,42,0
"8449",1,10,39,0
"8450",1,10,23,0
"8451",1,7,7,1
"8452",NA,0,15,0
"8453",NA,0,35,0
"8454",1,10,65,0
"8455",2,9,64,0
"8456",3,3,58,0
"8457",4,3,58,0
"8458",4,8,63,0
"8459",1,10,77,0
"8460",2,2,69,0
"8461",1,10,65,0
"8462",1,5,60,0
"8463",1,10,45,0
"8464",2,10,45,0
"8465",3,10,45,0
"8466",4,8,43,1
"8467",NA,0,15,0
"8468",NA,0,35,0
"8469",1,10,59,0
"8470",2,10,59,0
"8471",3,1,50,0
"8472",1,10,40,0
"8473",2,10,40,0
"8474",3,11,41,0
"8475",4,11,41,0
"8476",1,10,80,0
"8477",1,10,56,0
"8478",2,4,50,0
"8479",1,10,29,0
"8480",1,7,7,0
"8481",NA,0,NA,NA
"8482",2,5,5,1
"8483",NA,0,15,0
"8484",NA,0,35,0
"8485",1,10,67,0
"8486",1,10,53,0
"8487",2,6,49,0
"8488",3,1,44,0
"8489",1,10,41,0
"8490",2,5,36,0
"8491",1,10,31,0
"8492",2,5,26,0
"8493",3,16,37,0
"8494",4,16,37,0
"8495",1,10,55,0
"8496",2,1,46,0
"8497",1,10,43,0
"8498",1,10,10,0
"8499",1,24,24,0
"8500",2,26,26,0
"8501",1,10,11,0
"8502",2,4,5,1
"8503",NA,0,15,0
"8504",NA,0,35,0
"8505",1,10,75,0
"8506",1,15,80,0
"8507",2,15,80,0
"8508",3,15,80,0
"8509",4,13,78,0
"8510",1,10,14,0
"8511",2,9,13,0
"8512",3,5,9,0
"8513",1,1,1,1
"8514",NA,0,15,0
"8515",NA,0,35,0
"8516",1,10,68,0
"8517",2,10,68,0
"8518",3,2,60,0
"8519",1,10,54,0
"8520",2,10,54,0
"8521",3,10,54,0
"8522",4,10,54,0
"8523",1,10,98,0
"8524",NA,0,NA,0
"8525",2,8,96,0
"8526",NA,0,NA,0
"8527",3,8,96,0
"8528",NA,0,NA,0
"8529",4,5,93,0
"8530",NA,0,NA,0
"8531",1,10,53,0
"8532",NA,0,NA,NA
"8533",NA,0,35,0
"8534",1,10,78,0
"8535",1,10,60,0
"8536",2,10,60,0
"8537",3,5,55,0
"8538",3,15,65,0
"8539",1,10,43,0
"8540",2,10,43,0
"8541",1,10,32,0
"8542",2,9,31,1
"8543",NA,0,15,0
"8544",NA,0,35,0
"8545",1,10,68,0
"8546",1,10,57,0
"8547",2,8,55,0
"8548",1,10,40,0
"8549",2,4,34,0
"8550",3,3,33,0
"8551",4,5,35,0
"8552",1,10,65,0
"8553",2,7,62,0
"8554",3,6,61,0
"8555",4,4,59,0
"8556",1,10,99,0
"8557",2,5,94,0
"8558",3,2,91,0
"8559",3,6,95,0
"8560",4,6,95,0
"8561",1,10,41,0
"8562",2,7,38,0
"8563",3,6,37,0
"8564",4,3,34,0
"8565",NA,0,NA,NA
"8566",1,4,4,0
"8567",2,4,4,0
"8568",3,4,4,1
"8569",NA,0,15,0
"8570",NA,0,35,0
"8571",1,10,65,0
"8572",2,3,58,0
"8573",1,10,49,0
"8574",1,20,59,0
"8575",2,14,53,0
"8576",3,9,48,0
"8577",4,2,41,0
"8578",1,10,59,0
"8579",2,7,56,0
"8580",3,7,56,0
"8581",4,2,51,0
"8582",1,10,91,0
"8583",2,4,85,0
"8584",3,4,85,0
"8585",1,10,80,0
"8586",2,8,78,0
"8587",3,6,76,0
"8588",1,10,52,0
"8589",1,10,30,0
"8590",2,11,31,0
"8591",1,9,9,0
"8592",2,6,6,0
"8593",3,1,1,0
"8594",4,2,2,1
"8595",NA,0,15,0
"8596",NA,0,35,0
"8597",1,10,69,0
"8598",2,11,70,0
"8599",3,11,70,0
"8600",NA,0,NA,NA
"8601",NA,0,NA,NA
"8602",NA,0,35,0
"8603",1,10,71,0
"8604",2,8,69,0
"8605",3,3,64,0
"8606",4,3,64,0
"8607",1,10,75,0
"8608",2,1,66,0
"8609",1,10,54,0
"8610",2,10,54,0
"8611",3,10,54,0
"8612",1,10,24,0
"8613",2,14,28,0
"8614",NA,0,NA,0
"8615",3,14,28,0
"8616",4,14,28,0
"8617",NA,0,35,0
"8618",NA,0,NA,0
"8619",1,10,74,0
"8620",2,1,65,0
"8621",2,6,70,0
"8622",3,1,65,0
"8623",4,1,65,0
"8624",1,10,20,0
"8625",2,9,19,0
"8626",3,5,15,0
"8627",1,9,9,0
"8628",2,13,13,0
"8629",3,13,13,0
"8630",1,10,66,0
"8631",2,1,57,0
"8632",1,10,51,0
"8633",2,3,44,0
"8634",1,10,33,0
"8635",2,5,28,0
"8636",NA,0,NA,0
"8637",1,8,8,0
"8638",2,8,8,1
"8639",NA,0,15,0
"8640",NA,0,35,0
"8641",1,10,69,0
"8642",NA,0,NA,NA
"8643",1,15,74,0
"8644",2,11,70,0
"8645",3,1,60,0
"8646",4,1,60,0
"8647",1,10,53,0
"8648",1,10,24,0
"8649",2,10,24,0
"8650",3,16,30,0
"8651",4,26,40,0
"8652",1,10,80,0
"8653",2,10,80,0
"8654",3,7,77,0
"8655",1,10,24,0
"8656",2,3,17,0
"8657",3,7,21,0
"8658",1,10,14,0
"8659",2,12,16,0
"8660",NA,0,NA,0
"8661",3,12,16,0
"8662",3,19,23,0
"8663",4,21,25,0
"8664",NA,0,35,0
"8665",1,10,64,1
"8666",NA,0,15,0
"8667",NA,0,35,0
"8668",1,10,71,0
"8669",2,10,71,0
"8670",1,10,58,0
"8671",2,7,55,0
"8672",3,2,50,0
"8673",1,10,35,0
"8674",2,9,34,0
"8675",NA,0,NA,0
"8676",3,9,34,0
"8677",4,9,34,0
"8678",NA,0,35,0
"8679",1,10,85,0
"8680",2,5,80,0
"8681",1,10,69,0
"8682",2,10,69,0
"8683",NA,0,NA,NA
"8684",NA,0,35,0
"8685",1,10,73,0
"8686",1,10,40,0
"8687",1,22,52,0
"8688",2,22,52,0
"8689",3,5,35,0
"8690",1,10,25,0
"8691",2,7,22,0
"8692",2,12,27,0
"8693",3,12,27,1
"8694",NA,0,15,0
"8695",NA,0,35,0
"8696",1,10,80,0
"8697",1,10,68,0
"8698",2,2,60,0
"8699",1,10,55,0
"8700",1,10,36,0
"8701",2,7,33,0
"8702",3,3,29,0
"8703",1,10,19,0
"8704",1,9,9,0
"8705",2,9,9,1
"8706",NA,0,15,0
"8707",NA,0,35,0
"8708",1,10,68,0
"8709",2,3,61,0
"8710",3,3,61,0
"8711",4,1,59,0
"8712",4,6,64,0
"8713",1,10,99,0
"8714",2,8,97,0
"8715",3,9,98,0
"8716",4,3,92,0
"8717",1,10,49,0
"8718",2,10,49,0
"8719",NA,0,NA,NA
"8720",3,1,40,0
"8721",1,10,27,0
"8722",1,20,37,0
"8723",2,7,24,0
"8724",1,10,19,0
"8725",2,5,14,0
"8726",3,5,14,0
"8727",4,24,33,0
"8728",NA,0,35,0
"8729",1,10,74,0
"8730",2,2,66,0
"8731",1,10,29,0
"8732",2,8,27,0
"8733",3,1,20,0
"8734",1,7,7,0
"8735",2,8,8,0
"8736",3,11,11,0
"8737",4,11,11,0
"8738",NA,0,35,0
"8739",1,10,69,0
"8740",2,5,64,0
"8741",1,10,57,0
"8742",1,10,44,0
"8743",2,3,37,0
"8744",2,7,41,0
"8745",1,10,29,0
"8746",2,11,30,0
"8747",1,10,13,0
"8748",2,10,13,0
"8749",3,4,7,0
"8750",NA,0,NA,0
"8751",1,2,2,1
"8752",NA,0,2,0
"8753",NA,0,35,0
"8754",1,10,58,0
"8755",2,3,51,0
"8756",1,10,43,0
"8757",2,6,39,0
"8758",NA,0,NA,0
"8759",3,2,35,0
"8760",NA,0,NA,0
"8761",4,3,36,0
"8762",1,10,56,0
"8763",NA,0,NA,NA
"8764",NA,0,NA,NA
"8765",NA,0,35,0
"8766",1,10,70,0
"8767",1,10,65,0
"8768",2,10,65,0
"8769",3,1,56,0
"8770",1,10,54,0
"8771",2,6,50,0
"8772",3,6,50,0
"8773",1,10,31,0
"8774",2,1,22,0
"8775",1,10,16,0
"8776",2,8,14,0
"8777",3,2,8,0
"8778",4,2,8,0
"8779",NA,0,35,0
"8780",1,10,70,0
"8781",2,7,67,0
"8782",NA,0,NA,0
"8783",3,2,62,0
"8784",4,2,62,0
"8785",1,10,90,0
"8786",2,5,85,0
"8787",1,10,63,0
"8788",2,7,60,0
"8789",3,2,55,0
"8790",4,2,55,0
"8791",4,7,60,0
"8792",1,10,64,0
"8793",2,7,61,0
"8794",3,7,61,0
"8795",1,10,49,0
"8796",1,10,23,0
"8797",2,2,15,0
"8798",1,10,11,0
"8799",2,5,6,0
"8800",3,5,6,1
"8801",NA,0,15,0
"8802",NA,0,35,0
"8803",1,10,65,0
"8804",NA,0,NA,NA
"8805",2,9,64,0
"8806",3,1,56,0
"8807",1,10,51,0
"8808",1,15,56,0
"8809",1,20,61,0
"8810",2,15,56,0
"8811",3,15,56,0
"8812",3,20,61,0
"8813",4,10,51,0
"8814",4,15,56,0
"8815",1,10,80,0
"8816",1,10,69,0
"8817",2,10,69,0
"8818",3,4,63,0
"8819",1,10,44,0
"8820",2,10,44,0
"8821",3,4,38,0
"8822",1,10,16,1
"8823",NA,0,15,0
"8824",NA,0,35,0
"8825",1,10,86,0
"8826",2,10,86,0
"8827",3,10,86,0
"8828",4,10,86,0
"8829",1,10,70,0
"8830",2,12,72,0
