"","down","ydstogo","yardline_100","touchdown"
"963",3,1,67,0
"964",4,2,68,0
"965",1,10,79,0
"966",2,6,75,0
"967",1,10,66,0
"968",2,7,63,0
"969",3,6,62,0
"970",4,12,68,0
"971",1,10,85,0
"972",1,10,71,0
"973",2,6,67,0
"974",3,6,67,0
"975",1,10,62,0
"976",2,9,61,0
"977",1,10,51,0
"978",2,6,47,0
"979",3,5,46,0
"980",4,5,46,0
"981",NA,0,NA,NA
"982",1,10,92,0
"983",2,17,99,0
"984",3,16,98,0
"985",4,17,99,0
"986",4,17,99,0
"987",1,10,36,0
"988",2,8,34,0
"989",1,10,19,0
"990",2,4,13,0
"991",3,1,10,0
"992",4,1,10,0
"993",1,8,8,0
"994",2,3,3,1
"995",NA,0,15,0
"996",NA,0,35,0
"997",1,10,73,0
"998",2,3,66,0
"999",3,2,65,0
"1000",4,2,65,0
"1001",1,10,27,0
"1002",NA,0,NA,0
"1003",2,4,21,0
"1004",3,2,19,0
"1005",4,3,20,0
"1006",NA,0,35,0
"1007",1,10,65,0
"1008",2,10,65,0
"1009",NA,0,NA,0
"1010",3,14,69,0
"1011",4,5,60,0
"1012",1,10,55,0
"1013",1,5,50,0
"1014",1,10,41,0
"1015",2,3,34,0
"1016",1,10,30,0
"1017",2,11,31,0
"1018",1,10,20,0
"1019",2,10,20,0
"1020",3,10,20,0
"1021",NA,0,NA,0
"1022",4,3,13,1
"1023",NA,0,15,0
"1024",NA,0,35,0
"1025",1,10,49,0
"1026",2,6,45,0
"1027",NA,0,NA,NA
"1028",NA,0,NA,NA
"1029",NA,0,35,0
"1030",1,10,80,0
"1031",1,20,90,0
"1032",2,17,87,0
"1033",3,17,87,0
"1034",3,22,92,0
"1035",4,15,85,0
"1036",1,10,71,0
"1037",2,6,67,0
"1038",3,2,63,0
"1039",1,10,60,0
"1040",2,7,57,0
"1041",3,7,57,0
"1042",1,10,47,0
"1043",2,10,47,0
"1044",3,9,46,0
"1045",4,9,46,0
"1046",1,10,95,0
"1047",2,10,95,0
"1048",3,5,90,0
"1049",1,10,84,0
"1050",2,8,82,0
"1051",1,10,71,0
"1052",1,10,48,0
"1053",2,7,45,0
"1054",3,7,45,0
"1055",1,10,36,0
"1056",2,9,35,0
"1057",3,7,33,0
"1058",4,7,33,0
"1059",NA,0,35,0
"1060",1,10,75,0
"1061",2,10,75,0
"1062",3,7,72,0
"1063",NA,0,NA,NA
"1064",1,10,48,0
"1065",2,9,47,0
"1066",3,2,40,0
"1067",3,12,50,0
"1068",4,12,50,0
"1069",1,10,80,0
"1070",2,3,73,0
"1071",3,16,86,0
"1072",4,9,79,0
"1073",1,10,75,0
"1074",2,10,75,0
"1075",3,10,75,0
"1076",4,28,93,0
"1077",1,10,46,0
"1078",2,5,41,0
"1079",1,10,28,0
"1080",2,7,25,0
"1081",3,3,21,0
"1082",4,1,19,0
"1083",1,10,17,0
"1084",2,10,17,0
"1085",3,8,15,0
"1086",4,20,27,0
"1087",NA,0,35,0
"1088",1,10,65,0
"1089",2,5,60,0
"1090",1,10,41,0
"1091",2,9,40,0
"1092",1,10,31,0
"1093",NA,0,NA,0
"1094",1,7,7,0
"1095",2,2,2,0
"1096",NA,0,NA,0
"1097",3,1,1,0
"1098",NA,0,NA,0
"1099",4,1,1,1
"1100",NA,0,15,0
"1101",NA,0,35,0
"1102",1,10,77,0
"1103",2,5,72,0
"1104",1,10,49,0
"1105",1,15,54,0
"1106",1,10,49,0
"1107",2,10,49,0
"1108",NA,0,NA,0
"1109",1,10,35,0
"1110",NA,0,NA,NA
"1111",NA,0,35,0
"1112",1,10,68,0
"1113",2,13,71,0
"1114",1,10,56,0
"1115",2,8,54,0
"1116",1,10,18,0
"1117",1,10,13,1
"1118",NA,0,15,0
"1119",NA,0,35,0
"1120",1,10,80,0
"1121",1,15,85,0
"1122",2,3,73,0
"1123",1,10,63,0
"1124",1,15,68,0
"1125",2,1,54,0
"1126",1,10,51,0
"1127",2,22,63,0
"1128",1,10,59,0
"1129",2,4,53,0
"1130",3,11,60,0
"1131",4,11,60,0
"1132",1,10,76,0
"1133",2,10,76,0
"1134",1,10,61,0
"1135",2,9,60,0
"1136",1,10,50,0
"1137",2,8,48,0
"1138",2,23,63,0
"1139",3,19,59,0
"1140",4,10,50,0
"1141",1,10,87,0
"1142",2,6,83,0
"1143",1,10,70,0
"1144",2,8,68,0
"1145",NA,0,NA,NA
"1146",2,3,63,0
"1147",3,3,63,0
"1148",1,10,39,0
"1149",1,15,44,0
"1150",2,23,52,0
"1151",3,9,38,0
"1152",3,4,33,0
"1153",4,10,39,0
"1154",1,10,95,0
"1155",2,3,88,0
"1156",1,10,83,0
"1157",2,10,83,0
"1158",3,9,82,0
"1159",4,1,74,0
"1160",1,10,66,0
"1161",2,5,61,0
"1162",3,5,61,0
"1163",1,10,52,0
"1164",2,6,48,0
"1165",1,10,23,0
"1166",2,5,18,0
"1167",3,1,14,0
"1168",1,10,12,0
"1169",1,10,81,0
"1170",2,4,75,0
"1171",1,10,65,0
"1172",2,1,56,0
"1173",1,10,55,0
"1174",1,15,60,0
"1175",2,11,56,0
"1176",3,11,56,0
"1177",1,10,41,0
"1178",1,10,25,0
"1179",1,10,76,0
"1180",1,20,86,0
"1181",NA,0,NA,0
"1182",2,16,82,0
"1183",NA,0,NA,0
"1184",3,8,74,0
