"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","REC GRD","KEY","REC SNP","VS PRS","TGT","REC","REC YDS","YPR","REC TD","REC 1D","DP","FUM","FUML","CBL","CTT","CTC","YAC","YAC/REC","ADOT"
"","11817","44874","159081","9547fbb1-0d4f-4d9e-83b9-e2fa30463bb9","JuJu Smith-Schuster","Chiefs","09","WR","60.5","64","410","202","46","34","359","10.6","1","19","2","0","0","36","8","3","194","5.7","6.0"
"","11822","44879","174231","d9c857b2-97da-4fb8-a527-afbbb2a67413","Alvin Kamara","Saints","41","HB","39.5","36","252","8","41","34","187","5.5","0","7","3","2","1","37","1","0","208","6.1","0.7"
"","11824","44881","60930","2806e915-c46f-492f-8a29-71d3a85e5620","Cooper Kupp","Seahawks","10","WR","73.6","84","530","220","95","64","755","11.8","3","34","4","1","1","68","18","8","322","5.0","8.8"
"","11839","44896","159832","baa61bb5-f8d0-4f90-bbe2-028576b8d33d","Chris Godwin","Buccaneers","14","WR","68.8","43","290","109","51","35","371","10.6","2","21","2","0","0","41","14","7","209","6.0","7.8"
"","11841","44898","126678","0ef0d0ca-2d2d-455b-ab63-a20c01303e37","Kareem Hunt","Chiefs","29","HB","53.2","20","296","16","26","20","164","8.2","1","8","1","0","0","23","1","0","176","8.8","0.0"
"","11855","44912","110021","e4f25a37-74de-4bfb-b6c9-f50a4fab0b87","Jonnu Smith","Steelers","81","TE","49.4","47","340","115","60","40","221","5.5","2","10","2","1","0","44","8","3","185","4.6","4.8"
"","11860","44917","108625","28a084c0-14df-499f-bd1f-b975603626b7","James Conner","Cardinals","06","HB","73.4","8","46","2","9","8","38","4.8","1","4","0","0","0","8","1","0","70","8.8","-0.8"
"","11869","44927","159257","e601812f-ce24-4e99-bee0-e33c1e9014e4","Samaje Perine","Bengals","34","HB","60.3","16","193","20","21","18","92","5.1","0","5","1","0","0","19","1","1","121","6.7","-1.7"
"","11872","44930","158143","682eda79-0026-4ad8-8f45-a61ce42cb908","Josh Reynolds","Jets","83","WR","61.8","16","172","60","23","13","110","8.5","0","4","1","0","0","14","8","2","15","1.1","12.8"
"","11873","44931","65899","93cb5790-1012-4c42-bccb-5748c27ba7d6","Mack Hollins","Patriots","13","WR","71.7","49","414","188","76","53","687","13.0","3","33","0","1","0","54","17","10","133","2.5","14.4"
"","11901","44959","109513","2ada91b0-036e-454f-83c3-6d939ff584a9","George Kittle","49ers","85","TE","91","56","309","74","71","59","640","10.8","7","38","2","0","0","64","15","12","262","4.4","7.2"
"","11917","44975","164135","25cc3585-6194-4786-968a-2600db46b6c6","Jeremy McNichols","Commanders","26","HB","60.5","24","213","9","32","25","196","7.8","0","10","1","0","0","26","2","1","222","8.9","-0.6"
"","11929","44987","68794","582dc00e-e7ec-4ca7-bff0-f7b1d604017b","Eric Saubert","Seahawks","81","TE","57.5","8","88","26","6","5","33","6.6","0","2","0","0","0","5","0","0","16","3.2","5.5"
"","11937","44995","110264","27dd5b6e-ea65-4622-a6b4-460fd144407c","Aaron Jones","Vikings","33","HB","46.1","31","200","11","42","30","218","7.3","1","9","3","2","1","33","3","1","248","8.3","1.1"
"","11972","45030","59313","e5266a8b-b610-4c5e-9bee-7269917ffd6f","Corey Levin","Titans","62","C","54.9","0","2","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","11981","45039","","aecc1809-4628-4c3a-8b2b-c8f2858d2492","David Moore","Panthers","83","WR","49.5","2","41","10","1","1","5","5.0","0","0","0","0","0","1","0","0","0","0.0","5.0"
"","11993","45052","159942","36f62824-1cdb-4e9e-8a11-55df97e562b9","Noah Brown","Commanders","85","WR","61.5","12","77","25","12","6","102","17.0","0","3","1","0","0","8","5","2","24","4.0","15.0"
"","12078","44792","","8809c0dd-786b-4255-a7d0-333c9498c19a","Mo Alie-Cox","Colts","81","TE","58","12","124","21","19","13","117","9.0","1","4","1","0","0","15","4","1","78","6.0","5.5"
"","12087","45267","158188","2a443351-5e63-4a49-819e-912b51a745f2","Tim Patrick","Jaguars","17","WR","62.2","20","182","87","27","16","195","12.2","3","10","3","0","0","19","8","3","64","4.0","11.8"
"","12112","45244","194864","3c8a55dd-20a8-4375-b711-49eb5e6e1d0e","Taysom Hill","Saints","07","TE","50.7","9","88","15","16","12","109","9.1","0","2","3","0","0","15","1","0","94","7.8","2.0"
"","12164","45573","","e5b8c439-a48a-4f83-b63b-1a4d30e04cd3","Austin Ekeler","Commanders","30","HB","59.5","8","42","5","8","6","44","7.3","0","2","0","0","0","6","1","0","57","9.5","1.1"
"","12193","45635","56747","7c9c7800-69d0-459b-812b-a07ac48e9f2a","Robert Tonyan","Chiefs","85","TE","46.9","2","37","10","1","1","1","1.0","0","0","0","0","0","1","0","0","0","0.0","1.0"
"","12206","45094","121244","6414998b-5831-44aa-8bd8-39e42a323c2c","Johnny Mundt","Jaguars","86","TE","46.6","15","148","21","17","9","111","12.3","0","6","3","0","0","12","3","0","76","8.4","6.1"
"","12247","45339","61040","6733b953-de77-44e5-acbf-c2d3a0940243","Pharaoh Brown","Cardinals","49","TE","48.2","2","20","3","2","2","1","0.5","0","0","0","0","0","2","0","0","1","0.5","0.0"
"","12270","45185","116657","5aba3610-ab55-4922-ac46-806ded5eb8bf","Kendrick Bourne","49ers","84","WR","64.1","49","409","167","53","37","551","14.9","0","27","7","0","0","45","13","6","167","4.5","11.3"
